name,Assist/Turnover Ratio,Assists Per Game,Bench Points per game,Blocks Per Game,Effective FG pct,Fastbreak Points,Field Goal Percentage,Field Goal Percentage Defense,Fouls Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Free Throws Made Per Game,Rebound Margin,Rebounds (Defensive) Per Game,Rebounds (Offensive) Per Game,Rebounds Per Game,Scoring Defense,Scoring Margin,Scoring Offense,Steals Per Game,Three Point Attempts Per Game,Three Point Percentage,Three Point Percentage Defense,Three Pointers Per Game,Turnover Margin,Turnovers Forced Per Game,Turnovers Per Game,Winning Percentage
UConn,1.88,18.5,16.24,5.4,.571,12.62,74.25,39.803,7,19.5,74.25,14.5,8,26.85,11.62,38.47,64.4,17,81.5,6.2,24.0,36.69,31.9,8.8,.9,10.71,9.9,91.2
Virginia,1.86,15.0,17.12,5.0,.486,5.29,63.73,40.554,5,14.0,63.73,8.9,-2,23.79,8.76,32.56,59.7,3,62.9,7.0,18.1,35.77,30.5,6.5,3.9,12.00,8.1,67.6
Iowa,1.85,17.8,17.91,3.9,.528,14.94,77.65,45.827,5,21.2,77.65,16.4,-1,25.67,9.91,35.58,79.1,4,83.2,7.0,18.9,35.15,35.7,6.6,2.4,12.09,9.7,57.6
Northwestern,1.79,15.7,11.22,3.3,.532,6.00,74.82,45.021,12,17.1,74.82,12.8,-2,22.75,8.41,31.16,69.0,4,73.7,6.9,21.1,39.41,35.9,8.3,3.6,12.31,8.8,65.6
Colorado St.,1.79,18.3,17.74,3.1,.555,12.11,75.31,42.684,13,18.2,75.31,13.7,0,25.46,7.71,33.17,67.6,8,76.1,6.4,21.6,34.08,32.7,7.4,1.3,11.51,10.2,71.4
Princeton,1.78,14.6,14.38,1.9,.548,5.69,80.56,44.431,1,16.1,80.56,13.0,1,24.90,8.41,33.31,66.6,10,77.1,6.0,29.4,35.60,32.6,10.5,2.9,11.07,8.2,82.8
BYU,1.74,18.6,33.30,3.0,.551,12.18,73.77,42.630,8,16.1,73.77,11.8,6,27.70,11.94,39.64,69.9,11,81.8,5.9,32.2,34.81,31.8,11.2,.5,11.21,10.7,69.7
Auburn,1.70,18.0,34.06,6.2,.541,13.65,75.19,38.442,7,23.2,75.19,17.5,3,26.59,11.29,37.88,68.0,15,83.3,7.4,22.8,35.23,29.8,8.0,2.3,12.88,10.6,79.4
Gonzaga,1.69,16.6,19.03,4.0,.572,14.44,72.10,40.527,5,19.4,72.10,14.0,7,28.00,10.94,38.94,69.0,15,84.9,6.9,19.3,35.38,33.4,6.8,1.8,11.53,9.8,78.1
Michigan St.,1.67,16.3,17.85,3.9,.515,14.36,70.57,41.228,5,17.6,70.57,12.4,0,24.45,10.18,34.64,65.9,7,73.1,7.2,17.8,35.95,32.8,6.4,2.7,12.48,9.8,57.6
Kentucky,1.65,17.6,32.97,6.3,.574,15.66,77.27,42.940,11,19.7,77.27,15.2,0,27.53,10.03,37.56,79.7,9,89.4,7.7,24.1,41.19,32.6,9.9,1.3,12.00,10.7,71.9
Drake,1.64,15.9,15.47,1.6,.552,10.06,76.01,44.422,5,19.6,76.01,14.9,1,26.47,7.94,34.41,70.5,9,80.5,6.4,23.6,36.69,32.9,8.7,2.6,12.29,9.7,82.4
Tennessee,1.63,16.8,19.06,4.7,.515,12.34,74.93,38.930,7,21.2,74.93,15.9,3,27.12,11.69,38.81,67.9,11,79.5,7.9,25.5,34.19,31.4,8.7,3.1,13.34,10.3,75.0
Kansas,1.62,18.8,11.88,3.9,.537,12.69,72.73,40.385,5,18.6,72.73,13.5,2,27.94,8.03,35.97,68.7,6,75.2,7.3,17.1,32.91,33.2,5.6,.2,11.81,11.6,68.8
Creighton,1.62,17.1,11.12,4.1,.575,9.88,78.13,42.006,0,14.7,78.13,11.5,4,29.62,8.31,37.94,69.7,10,80.5,4.0,29.3,36.10,32.2,10.6,-2.8,7.75,10.6,71.9
Yale,1.61,15.2,15.35,3.3,.530,9.29,70.86,41.473,6,16.2,70.86,11.5,4,27.03,10.06,37.10,66.6,8,75.2,6.0,20.9,34.72,33.2,7.3,1.5,10.94,9.5,71.0
Purdue,1.60,18.4,17.67,3.8,.560,7.39,72.12,41.860,2,25.0,72.12,18.0,10,28.21,12.15,40.36,70.1,13,83.4,5.7,20.4,40.80,31.4,8.3,-1.7,9.76,11.5,87.9
Saint Mary's (CA),1.60,16.2,16.48,3.9,.534,6.27,67.80,39.531,11,16.9,67.80,11.5,12,26.39,13.15,39.55,58.7,15,74.2,6.5,21.5,35.45,31.5,7.6,.7,10.85,10.1,78.8
Marquette,1.59,15.8,15.44,3.2,.551,13.06,71.51,42.443,4,15.6,71.51,11.1,-2,24.03,8.76,32.79,69.7,8,78.3,8.6,24.7,35.83,33.6,8.9,4.8,14.71,9.9,73.5
Duke,1.59,15.4,15.19,3.7,.552,11.34,72.19,43.221,5,20.0,72.19,14.4,5,26.00,10.53,36.53,67.4,12,79.8,6.4,22.1,37.71,32.6,8.3,1.7,11.44,9.7,75.0
